set_type(1-smalldots-smalldots.2-),screen1_number,screen1_time,screen2_number,screen2_time,is_larger,responded_larger,response_time,reaction_time,accuracy
1,6,1667982168.3235,7,1667982169.3742,1,0,1667982187.6625,18.2884,0
1,6,1667982188.7319,2,1667982189.7371,0,0,1667982195.0602,5.3231,1
1,7,1667982196.0957,8,1667982197.0826,1,1,1667982204.5505,7.4678,1
1,6,1667982205.6334,1,1667982206.6373,0,0,1667982210.9583,4.321,1
2,6,1667982211.9597,5,1667982213.0289,0,1,1667982214.0705,1.0417,0
2,6,1667982215.0869,5,1667982216.158,0,0,1667982269.6934,53.5354,1
2,7,1667982270.7236,8,1667982271.7486,1,1,1667982273.797,2.0484,1
2,6,1667982274.7761,8,1667982275.7795,1,1,1667982323.4239,47.6445,1
2,2,1667982324.4354,1,1667982325.4363,0,0,1667982327.187,1.7507,1
2,5,1667982328.1999,1,1667982329.2039,0,0,1667982329.9057,0.70185,1
1,2,1667982330.9055,1,1667982331.9319,0,0,1667982332.272,0.34003,1
1,5,1667982333.2866,6,1667982334.3241,1,0,1667982334.7999,0.47578,0
1,5,1667982335.7891,7,1667982336.7674,1,1,1667982337.1295,0.3621,1
1,3,1667982338.2145,2,1667982339.2099,0,0,1667982339.5261,0.3162,1
2,5,1667982340.6058,8,1667982341.6033,1,1,1667982341.8215,0.21824,1
2,3,1667982342.8135,2,1667982343.8673,0,1,1667982344.1605,0.29326,0
2,6,1667982345.1837,7,1667982346.1932,1,0,1667982346.5615,0.36829,0
2,2,1667982347.6098,1,1667982348.681,0,0,1667982348.9599,0.27889,1
2,5,1667982349.9719,7,1667982351.0425,1,0,1667982351.043,0.00049806,0
2,4,1667982352.113,2,1667982353.1832,0,0,1667982353.5011,0.31791,1
2,3,1667982354.5215,2,1667982355.5583,0,1,1667982355.6248,0.066581,0
4,35,1667982356.6791,24,1667982357.7548,0,0,1667982362.7972,5.0424,1
